Id,Season,Week,Neutral_Site,Conference_Game,Attendance,Venue_Id,Home_Id,Home_Team,Home_Conference,Home_Division,Home_Points,Home_1_Q_P,Home_2_Q_P,Home_3_Q_P,Home_4_Q_P,Away_Id,Away_Team,Away_Conference,Away_Division,Away_Points,Away_1_Q_P,Away_2_Q_P,Away_3_Q_P,Away_4_Q_P
401525434,2023,1,TRUE,FALSE,49000,3504,87,Notre Dame,FBS Independents,fbs,42,14,14,7,7,2426,Navy,American Athletic,fbs,3,0,0,0,3
401520145,2023,1,FALSE,TRUE,17982,3662,55,Jacksonville State,Conference USA,fbs,17,3,7,7,0,2638,UTEP,Conference USA,fbs,14,0,7,0,7
401525450,2023,1,FALSE,FALSE,15356,3601,166,New Mexico State,Conference USA,fbs,30,0,10,0,20,113,UMass,FBS Independents,fbs,41,7,3,3,28
401532392,2023,1,FALSE,FALSE,23867,7311,21,San Diego State,Mountain West,fbs,20,3,7,0,10,195,Ohio,Mid-American,fbs,13,3,3,0,7
401520147,2023,1,FALSE,FALSE,21407,3973,238,Vanderbilt,SEC,fbs,35,14,7,7,7,62,Hawai'i,Mountain West,fbs,28,7,7,0,14
401523986,2023,1,FALSE,FALSE,63411,477,30,USC,Pac-12,fbs,56,7,14,21,14,23,San José State,Mountain West,fbs,28,0,14,7,7
401520146,2023,1,FALSE,TRUE,16299,3776,2348,Louisiana Tech,Conference USA,fbs,22,0,13,0,9,2229,Florida International,Conference USA,fbs,17,14,3,0,0
401525816,2023,1,FALSE,FALSE,44088,3652,2116,UCF,Big 12,fbs,56,14,14,14,14,2309,Kent State,Mid-American,fbs,6,3,0,3,0
401532393,2023,1,FALSE,FALSE,19432,3980,2711,Western Michigan,Mid-American,fbs,35,7,14,7,7,2598,St Francis (PA),NEC,fcs,17,0,10,7,0
401525461,2023,1,FALSE,FALSE,30028,3630,154,Wake Forest,ACC,fbs,37,10,14,6,7,2210,Elon,CAA,fcs,17,0,0,14,3
401531834,2023,1,FALSE,FALSE,15546,4246,2247,Georgia State,Sun Belt,fbs,42,14,7,14,7,227,Rhode Island,CAA,fcs,35,0,14,14,7
401520174,2023,1,FALSE,FALSE,36526,3892,41,Connecticut,FBS Independents,fbs,14,7,0,7,0,152,NC State,ACC,fbs,24,7,3,14,0
401531337,2023,1,FALSE,FALSE,17529,3674,202,Tulsa,American Athletic,fbs,42,0,28,7,7,2029,Arkansas-Pine Bluff,SWAC,fcs,7,7,0,0,0
401520148,2023,1,FALSE,TRUE,53629,3953,135,Minnesota,Big Ten,fbs,13,0,3,0,10,158,Nebraska,Big Ten,fbs,10,0,0,7,3
401520165,2023,1,FALSE,FALSE,50434,3838,142,Missouri,SEC,fbs,35,14,14,0,7,233,South Dakota,MVFC,fcs,10,0,3,0,7
